,0,1,2,3,y_step_1,y_step_2,y_step_3
2018-01-01,0.015587761674718202,0.5840663557099788,0.0,1.0,300.0,500.0,500.0
2018-01-02,0.07170370370370373,0.5702718779704128,0.004300592702982327,0.9999907524084426,500.0,500.0,500.0
2018-01-03,0.034293075684380045,0.5611754963626936,0.008601105865715108,0.9999630098048061,500.0,500.0,1400.0
2018-01-04,0.7918582930756847,0.66903236190592,0.012901459949419915,0.9999167727021953,500.0,1400.0,1400.0
2018-01-05,0.3460483091787441,1.0,0.017201575418260506,0.9998520419557735,1400.0,1400.0,1400.0
2018-01-06,0.13717230273752018,0.9261295321687157,0.02150137274081387,0.999768818762748,1400.0,1400.0,1400.0
2018-01-07,0.11846698872785834,0.8876449379139331,0.025800772391541174,0.999667104662347,1400.0,1400.0,1400.0
2018-01-08,0.0,0.8084765977292818,0.030099694852258586,0.9995469015357913,1400.0,1400.0,1400.0
2018-01-09,0.0,0.7357056938193409,0.03439806061360801,0.9994082116062598,1400.0,1400.0,499.0
2018-01-10,0.0,0.6630347724733383,0.038695790176527585,0.999251037438848,1400.0,499.0,550.0
2018-01-11,0.0,0.6235505611126655,0.042992804053722064,0.9990753819405211,499.0,550.0,550.0
2018-01-12,0.0,0.6370451686156002,0.047289022771132956,0.9988812483600596,550.0,550.0,550.0
2018-01-13,0.0,0.6408436421213537,0.05158436686940837,0.9986686402879997,550.0,550.0,550.0
2018-01-14,0.0,0.6395441607368184,0.05587875690537267,0.9984375616565666,550.0,550.0,550.0
2018-01-15,0.012714975845410634,0.6432426933853321,0.060172113453495754,0.9981880167396019,550.0,550.0,1400.0
2018-01-16,0.009536231884057974,0.6567372770559814,0.06446435710736213,0.9979200101524843,550.0,1400.0,1400.0
2018-01-17,0.0031787439613526584,0.6167532839534715,0.06875540848113941,0.9976335468520451,1400.0,1400.0,1400.0
2018-01-18,0.03496618357487924,0.5577768518249968,0.07304518821104669,0.9973286321364753,1400.0,1400.0,549.0
2018-01-19,0.04450241545893722,0.516593347985804,0.07733361695682235,0.9970052716452283,1400.0,549.0,549.0
2018-01-20,0.0,0.48020791986323275,0.08162061540319146,0.9966634713589158,549.0,549.0,549.0
2018-01-21,0.0,0.47890844443679725,0.08590610426133272,0.9963032375991965,549.0,549.0,549.0
2018-01-22,0.006357487922705317,0.4805078020160636,0.09019000427034499,0.9959245770286599,549.0,549.0,549.0
2018-01-23,0.04450241545893722,0.48790483156449227,0.09447223619871314,0.9955274966507025,549.0,549.0,549.0
2018-01-24,0.0,0.4854058275270745,0.09875272084577354,0.9951120038093987,549.0,549.0,549.0
2018-01-25,0.0,0.4819072331949883,0.1030313790431788,0.9946781061893646,549.0,549.0,549.0
2018-01-26,0.16847342995169082,0.506897234841972,0.10730813165636206,0.9942258118156161,549.0,549.0,549.0
2018-01-27,0.0031787439613526584,0.549979987350298,0.11158289958600064,0.9937551290534206,549.0,549.0,549.0
2018-01-28,0.0,0.5474809654385808,0.11585560376947887,0.9932660666081418,549.0,549.0,549.0
2018-01-29,0.0,0.5409835763903175,0.12012616518235049,0.9927586335250793,549.0,549.0,549.0
2018-01-30,0.0,0.5330867412678799,0.12439450483980019,0.9922328391893008,549.0,549.0,549.0
2018-01-31,0.0,0.5200919423180039,0.12866054379810438,0.9916886933254689,549.0,549.0,1200.0
2018-02-01,0.1589371980676329,0.5283886332199472,0.13292420315609138,0.9911262059976611,549.0,1200.0,1200.0
2018-02-02,0.26065700483091786,0.678428595875971,0.13718540405660057,0.9905453876091833,1200.0,1200.0,549.0
2018-02-03,0.012714975845410634,0.6245501543862702,0.1414440676879411,0.9899462489023781,1200.0,549.0,600.0
2018-02-04,0.0,0.5799549666188568,0.14570011528534918,0.9893288009584256,549.0,600.0,600.0
2018-02-05,0.0,0.5696721196230783,0.14995346813244517,0.9886930551971383,600.0,600.0,600.0
2018-02-06,0.0,0.5454817788912578,0.1542040475626894,0.988039023376751,600.0,600.0,600.0
2018-02-07,0.0,0.5413834172745737,0.15845177496083687,0.9873667175937015,600.0,600.0,600.0
2018-02-08,0.0,0.5121951101746163,0.1626965717643916,0.9866761502824086,600.0,600.0,589.0
2018-02-09,0.13032850241545899,0.5126949127694616,0.16693835946505933,0.9859673342150411,600.0,589.0,589.0
2018-02-10,0.20026086956521746,0.5786685186668592,0.17117705961019986,0.985240282501282,589.0,589.0,1400.0
2018-02-11,0.31469565217391315,0.6856257377518205,0.17541259380427784,0.9844950085880859,589.0,1400.0,1400.0
2018-02-12,0.2765507246376812,0.8938424567255652,0.17964488371031273,0.9837315262594303,1400.0,1400.0,1400.0
2018-02-13,0.038144927536231894,0.9125349838084276,0.18387385105132778,0.9829498496360606,1400.0,1400.0,1400.0
2018-02-14,0.18118840579710146,0.9111355377342534,0.18809941761179758,0.9821499931752291,1400.0,1400.0,1400.0
2018-02-15,0.0031787439613526584,0.907137128891236,0.19232150523909483,0.9813319716704275,1400.0,1400.0,1400.0
2018-02-16,0.0,0.8686525465526529,0.19654003584493576,0.9804958002511135,1400.0,1400.0,1400.0
2018-02-17,0.04450241545893722,0.8383646338245399,0.20075493140682438,0.9796414943824303,1400.0,1400.0,1400.0
2018-02-18,0.0,0.80147939119081,0.20496611396949535,0.9787690698649216,1400.0,1400.0,1400.0
2018-02-19,0.04450241545893722,0.7793882255283506,0.20917350564635612,0.9778785428342386,1400.0,1400.0,1400.0
2018-02-20,0.09536231884057975,0.7921831159522981,0.21337702862092717,0.9769699297608417,1400.0,1400.0,1400.0
2018-02-21,0.0,0.7592962642875136,0.21757660514828134,0.9760432474496962,1400.0,1400.0,1400.0
2018-02-22,0.006357487922705317,0.7240103851911499,0.22177215755648186,0.975098513039961,1400.0,1400.0,1400.0
2018-02-23,0.0,0.6887244941784729,0.22596360824801853,0.9741357440046721,1400.0,1400.0,579.0
2018-02-24,0.0,0.6508396523131523,0.23015087970124337,0.9731549581504191,1400.0,579.0,579.0
2018-02-25,0.0,0.6252498655072714,0.23433389447180406,0.9721561736170158,579.0,579.0,579.0
2018-02-26,0.0,0.6294481858554946,0.23851257519407645,0.9711394088771653,579.0,579.0,579.0
2018-02-27,0.006357487922705317,0.6490403653546082,0.24268684458259548,0.9701046827361175,579.0,579.0,1400.0
